window,metric,source,n,mean,sd,median,q1,q3,minimum,maximum
nocturnal,lbgi,real,482,1.068379410271887,1.000109618303851,0.8013504762330713,0.36421187490510076,1.492553001288984,0.004820371663565458,8.04781414184343
nocturnal,lbgi,virtual,482,2.0605671208700005,3.5110393855618454,0.9136059009318763,0.23410532361374956,1.5519492947867308,0.0002704873585595853,25.75972004723954
nocturnal,lbgi,real_minus_virtual,482,-0.9921877105981134,3.035683977526771,0.0025713522510918685,-1.1209328533341376,0.3925000654638301,-22.353081518596063,2.7863281872276353
nocturnal,hbgi,real,482,8.140574412884279,5.097023616432204,7.285276468414241,4.49797833315303,10.360368504070639,0.022020125593288642,37.56395077999888
nocturnal,hbgi,virtual,482,0.8458680440741028,1.3871838480525864,0.3764939487750759,0.1847476080014193,0.8709053450203835,0.01592354136795371,9.723889766856994
nocturnal,hbgi,real_minus_virtual,482,7.294706368810177,4.287941189805175,6.589750227268108,4.2700044688318215,9.382772008587745,-0.004432684574329639,27.84006101314189
dawn,lbgi,real,482,1.2455768892860166,1.1057843852984564,0.9745011302282109,0.4824214563719172,1.644669768589675,0.0008723271273347008,10.055489006501615
dawn,lbgi,virtual,482,1.6233872325887329,4.116423659802924,0.1445751868625707,0.05183440965027871,0.6677654576613425,0.00040573103783937795,27.895300502827684
dawn,lbgi,real_minus_virtual,482,-0.3778103433027164,3.821215853306689,0.5469004467099816,0.008388799982300875,1.170221045103024,-24.049749810939073,6.772843476322205
dawn,hbgi,real,482,7.20084210172981,4.783464426385831,5.970159171321436,3.945488299819749,9.742011526814963,0.0009688082887147205,27.1860422145436
dawn,hbgi,virtual,482,2.0859376221391845,1.106713374797505,1.9006860086129715,1.1335129478694534,2.8094197415895157,0.027662758044278778,5.972799761582565
dawn,hbgi,real_minus_virtual,482,5.114904479590627,4.324136354044573,4.166755378940751,1.9800270607797554,7.369221534840021,-3.141017183313223,23.624182076521322
