metric,study_margin,multiplier,test_margin,bias,ci90_lo,ci90_hi,boot_base_lo,boot_base_hi,tost_equiv,boot_equiv,verdict
tir_percent,5.0,0.5,2.5,-1.5138980808392397,-1.728753443704247,-1.2990427179742323,-2.406814391313483,-0.5994071697861326,True,True,Robustly equivalent
tir_percent,5.0,0.75,3.75,-1.5138980808392397,-1.728753443704247,-1.2990427179742323,-2.406814391313483,-0.5994071697861326,True,True,Robustly equivalent
tir_percent,5.0,1.0,5.0,-1.5138980808392397,-1.728753443704247,-1.2990427179742323,-2.406814391313483,-0.5994071697861326,True,True,Robustly equivalent
tir_percent,5.0,1.25,6.25,-1.5138980808392397,-1.728753443704247,-1.2990427179742323,-2.406814391313483,-0.5994071697861326,True,True,Robustly equivalent
tir_percent,5.0,1.5,7.5,-1.5138980808392397,-1.728753443704247,-1.2990427179742323,-2.406814391313483,-0.5994071697861326,True,True,Robustly equivalent
tir_percent,5.0,2.0,10.0,-1.5138980808392397,-1.728753443704247,-1.2990427179742323,-2.406814391313483,-0.5994071697861326,True,True,Robustly equivalent
gmi_percent,0.5,0.5,0.25,-0.05018086173396067,-0.0656023392583835,-0.03475938420953783,-0.13064429865650434,0.052063756097163426,True,True,Robustly equivalent
gmi_percent,0.5,0.75,0.375,-0.05018086173396067,-0.0656023392583835,-0.03475938420953783,-0.13064429865650434,0.052063756097163426,True,True,Robustly equivalent
gmi_percent,0.5,1.0,0.5,-0.05018086173396067,-0.0656023392583835,-0.03475938420953783,-0.13064429865650434,0.052063756097163426,True,True,Robustly equivalent
gmi_percent,0.5,1.25,0.625,-0.05018086173396067,-0.0656023392583835,-0.03475938420953783,-0.13064429865650434,0.052063756097163426,True,True,Robustly equivalent
gmi_percent,0.5,1.5,0.75,-0.05018086173396067,-0.0656023392583835,-0.03475938420953783,-0.13064429865650434,0.052063756097163426,True,True,Robustly equivalent
gmi_percent,0.5,2.0,1.0,-0.05018086173396067,-0.0656023392583835,-0.03475938420953783,-0.13064429865650434,0.052063756097163426,True,True,Robustly equivalent
tbr_percent,3.0,0.5,1.5,1.4219482122765,1.205869516680635,1.6380269078723648,-0.08087892252704941,2.5298531930830976,False,False,Not equivalent
tbr_percent,3.0,0.75,2.25,1.4219482122765,1.205869516680635,1.6380269078723648,-0.08087892252704941,2.5298531930830976,True,False,Not robust (base-boot)
tbr_percent,3.0,1.0,3.0,1.4219482122765,1.205869516680635,1.6380269078723648,-0.08087892252704941,2.5298531930830976,True,True,Robustly equivalent
tbr_percent,3.0,1.25,3.75,1.4219482122765,1.205869516680635,1.6380269078723648,-0.08087892252704941,2.5298531930830976,True,True,Robustly equivalent
tbr_percent,3.0,1.5,4.5,1.4219482122765,1.205869516680635,1.6380269078723648,-0.08087892252704941,2.5298531930830976,True,True,Robustly equivalent
tbr_percent,3.0,2.0,6.0,1.4219482122765,1.205869516680635,1.6380269078723648,-0.08087892252704941,2.5298531930830976,True,True,Robustly equivalent
tar_percent,5.0,0.5,2.5,0.09194986856274137,-0.13566760813576567,0.3195673452612484,-0.616637663714839,1.0567040486304662,True,True,Robustly equivalent
tar_percent,5.0,0.75,3.75,0.09194986856274137,-0.13566760813576567,0.3195673452612484,-0.616637663714839,1.0567040486304662,True,True,Robustly equivalent
tar_percent,5.0,1.0,5.0,0.09194986856274137,-0.13566760813576567,0.3195673452612484,-0.616637663714839,1.0567040486304662,True,True,Robustly equivalent
tar_percent,5.0,1.25,6.25,0.09194986856274137,-0.13566760813576567,0.3195673452612484,-0.616637663714839,1.0567040486304662,True,True,Robustly equivalent
tar_percent,5.0,1.5,7.5,0.09194986856274137,-0.13566760813576567,0.3195673452612484,-0.616637663714839,1.0567040486304662,True,True,Robustly equivalent
tar_percent,5.0,2.0,10.0,0.09194986856274137,-0.13566760813576567,0.3195673452612484,-0.616637663714839,1.0567040486304662,True,True,Robustly equivalent
lbgi,1.0,0.5,0.5,0.2211923234481634,0.16751836557096153,0.2748662813253653,-0.15039815423136496,0.49260398127424115,True,True,Robustly equivalent
lbgi,1.0,0.75,0.75,0.2211923234481634,0.16751836557096153,0.2748662813253653,-0.15039815423136496,0.49260398127424115,True,True,Robustly equivalent
lbgi,1.0,1.0,1.0,0.2211923234481634,0.16751836557096153,0.2748662813253653,-0.15039815423136496,0.49260398127424115,True,True,Robustly equivalent
lbgi,1.0,1.25,1.25,0.2211923234481634,0.16751836557096153,0.2748662813253653,-0.15039815423136496,0.49260398127424115,True,True,Robustly equivalent
lbgi,1.0,1.5,1.5,0.2211923234481634,0.16751836557096153,0.2748662813253653,-0.15039815423136496,0.49260398127424115,True,True,Robustly equivalent
lbgi,1.0,2.0,2.0,0.2211923234481634,0.16751836557096153,0.2748662813253653,-0.15039815423136496,0.49260398127424115,True,True,Robustly equivalent
hbgi,2.0,0.5,1.0,-0.22814174779206717,-0.3386896508911761,-0.11759384469295826,-0.8174643795996602,0.45993956502565353,True,True,Robustly equivalent
hbgi,2.0,0.75,1.5,-0.22814174779206717,-0.3386896508911761,-0.11759384469295826,-0.8174643795996602,0.45993956502565353,True,True,Robustly equivalent
hbgi,2.0,1.0,2.0,-0.22814174779206717,-0.3386896508911761,-0.11759384469295826,-0.8174643795996602,0.45993956502565353,True,True,Robustly equivalent
hbgi,2.0,1.25,2.5,-0.22814174779206717,-0.3386896508911761,-0.11759384469295826,-0.8174643795996602,0.45993956502565353,True,True,Robustly equivalent
hbgi,2.0,1.5,3.0,-0.22814174779206717,-0.3386896508911761,-0.11759384469295826,-0.8174643795996602,0.45993956502565353,True,True,Robustly equivalent
hbgi,2.0,2.0,4.0,-0.22814174779206717,-0.3386896508911761,-0.11759384469295826,-0.8174643795996602,0.45993956502565353,True,True,Robustly equivalent
