method,metric,margin,bias,ci90_lo,ci90_hi,boot_lo,boot_hi,verdict,n_equiv,bt_n,bt_mae,bt_median_ae,bt_rmse,bt_loa_mean,bt_loa_lo,bt_loa_hi,bt_loa_lo_ci95_lo,bt_loa_lo_ci95_hi,bt_loa_hi_ci95_lo,bt_loa_hi_ci95_hi,bt_q25_diff,bt_q50_diff,bt_q75_diff,bt_q95_diff,bt_q05_diff
B1_mean_only,mean_glucose_mgdl,10.0,0.13767769427541046,0.06032566778039636,0.21502972077042457,-0.05685830283216037,0.3537161970479236,Robustly equivalent,1,719,0.6389581689198939,0.34351374029046156,1.2659875240236438,0.13767769427541046,-2.3306581479259947,2.6060135364768158,-2.490365591234897,-2.170950704617092,2.4463060931679133,2.7657209797857183,-0.26331075637836676,0.0844327689474369,0.42454584253480476,1.7217127108064958,-0.9988279135176612
B1_mean_only,gmi_percent,0.5,0.003293250447067875,0.0014429899733071354,0.005143510920828615,-0.0013600506037452784,0.008460891433386252,Robustly equivalent,1,719,0.015283879400563886,0.008216848667746746,0.030282421574645595,0.003293250447067875,-0.05574934289838981,0.062335843792525554,-0.059569544942338765,-0.05192914085444085,0.0585156417485766,0.06615604583647451,-0.0062983932925702035,0.002019631833222846,0.010155136553432698,0.04118336804249102,-0.023891963691342256
B1_mean_only,tbr_percent,3.0,2.757293728167913,2.319318051619998,3.1952694047158277,1.5626575144680883,3.6197920300963697,Not equivalent,0,719,4.755404468482414,3.150120148357102,7.640517101751505,2.757293728167913,-11.21869512980092,16.733282586136745,-12.122976228854776,-10.314414030747065,15.82900148708289,17.637563685190603,0.5888129099559976,2.6514903798047373,5.723867376390047,11.155185211978441,-3.65082928802589
B1_mean_only,tar_percent,5.0,2.8593801987538505,2.296182371593434,3.422578025914267,1.013897826528711,4.666258565815261,Robustly equivalent,1,719,7.319982519072565,5.788076784426821,9.598732947595154,2.8593801987538505,-15.11250038435685,20.83126078186455,-16.275325576256858,-13.94967519245684,19.668435589964542,21.99408597376456,-3.449860460624013,1.2748350577297973,8.877127083387279,19.672915930258043,-10.35514452657105
B1_mean_only,lbgi,1.0,0.49803594075447777,0.36440741240256536,0.6316644691063902,0.054510433633249505,0.7778011971876617,Robustly equivalent,1,719,1.110887943153335,0.7022175305904693,2.2303852702552476,0.49803594075447777,-3.766106849259079,4.762178730768034,-4.042007450487551,-3.490206248030606,4.486278129539562,5.0380793319965065,0.21435069087703132,0.6046522448575796,1.1952582103154166,2.202225697188561,-0.8180963151514452
B1_mean_only,hbgi,2.0,1.2168168866766953,1.11438096315209,1.3192528102013006,0.8954131379443124,1.4749408619825781,Robustly equivalent,1,719,1.6709842749788857,1.5497744635193262,2.063525405997728,1.2168168866766953,-2.051956706230829,4.48559047958422,-2.2634544547759883,-1.8404589576856698,4.27409273103906,4.697088228129379,0.47265182543676176,1.42895015238585,2.2255030463697234,3.330394516412101,-1.404149437495603
B2_mean_cv,mean_glucose_mgdl,10.0,0.5219433378402679,0.0852349374464661,0.9586517382340698,-0.5314916876519215,1.6614783088548457,Robustly equivalent,1,719,4.846902485172637,3.6188273561954247,7.124173662114166,0.5219433378402679,-13.413606202700139,14.457492878380675,-14.315270777744082,-12.511941627656196,13.555828303336732,15.359157453424618,-3.3177698268797258,0.44776637155243293,3.858380801227085,10.419234079881607,-8.997767608078387
B2_mean_cv,cv_percent,5.0,0.5068927000868247,0.33574565423405867,0.6780397459395908,-0.002025019724168312,1.0151815378991325,Robustly equivalent,1,719,2.1398832022236984,1.7535958061637444,2.8302391235025057,0.5068927000868247,-4.954481832776897,5.968267232950546,-5.307846293432347,-4.601117372121446,5.614902772295095,6.321631693605997,-1.3281399121415163,0.3455466368600071,2.236613803787005,4.782037492329636,-3.529227191301172
B2_mean_cv,gmi_percent,0.5,0.012484884641139312,0.0020388197037195695,0.022930949578559054,-0.012713281168633761,0.039742561147807935,Robustly equivalent,1,719,0.1159379074453295,0.08656235036019488,0.1704102339977709,0.012484884641139312,-0.3208534603685873,0.345823229650866,-0.3424212770036384,-0.2992856437335362,0.3242554130158149,0.36739104628591707,-0.07936105425896223,0.010710571607534192,0.09229246876535235,0.24922807919076836,-0.21522660118523476
B2_mean_cv,tbr_percent,3.0,1.3962502263907532,1.1374367716348996,1.6550636811466068,0.1481875130564762,2.5173859120138333,Robustly equivalent,1,719,3.176807159062002,2.3030510795514894,4.436221943119976,1.3962502263907532,-6.862596448544425,9.655096901325932,-7.3969642864144,-6.328228610674449,9.120729063455956,10.189464739195907,0.0,1.1706116008270757,3.5355392156862746,7.9287167155732625,-6.277963615961249
