method,metric,bias,ci90_lo,ci90_hi,verdict,bt_mae,bt_rmse,bt_loa_lo,bt_loa_hi,bt_q05_diff,bt_q95_diff
B1_mean_only,mean_glucose_mgdl,0.13767769427541046,0.06032566778039636,0.21502972077042457,Robustly equivalent,0.6389581689198939,1.2659875240236438,-2.3306581479259947,2.6060135364768158,-0.9988279135176612,1.7217127108064958
B1_mean_only,tbr_percent,2.757293728167913,2.319318051619998,3.1952694047158277,Not equivalent,4.755404468482414,7.640517101751505,-11.21869512980092,16.733282586136745,-3.65082928802589,11.155185211978441
B1_mean_only,lbgi,0.49803594075447777,0.36440741240256536,0.6316644691063902,Robustly equivalent,1.110887943153335,2.2303852702552476,-3.766106849259079,4.762178730768034,-0.8180963151514452,2.202225697188561
B1_mean_only,hbgi,1.2168168866766953,1.11438096315209,1.3192528102013006,Robustly equivalent,1.6709842749788857,2.063525405997728,-2.051956706230829,4.48559047958422,-1.404149437495603,3.330394516412101
B2_mean_cv,mean_glucose_mgdl,0.5219433378402679,0.0852349374464661,0.9586517382340698,Robustly equivalent,4.846902485172637,7.124173662114166,-13.413606202700139,14.457492878380675,-8.997767608078387,10.419234079881607
B2_mean_cv,cv_percent,0.5068927000868247,0.33574565423405867,0.6780397459395908,Robustly equivalent,2.1398832022236984,2.8302391235025057,-4.954481832776897,5.968267232950546,-3.529227191301172,4.782037492329636
B2_mean_cv,tbr_percent,1.3962502263907532,1.1374367716348996,1.6550636811466068,Robustly equivalent,3.176807159062002,4.436221943119976,-6.862596448544425,9.655096901325932,-6.277963615961249,7.9287167155732625
B2_mean_cv,lbgi,0.20380913127677386,0.1444997473956769,0.2631185151578708,Robustly equivalent,0.6655130191970992,0.9862231257826279,-1.688778363144335,2.0963966256978828,-1.3518044306007766,1.506087050447778
B2_mean_cv,hbgi,0.21441709375652013,0.12915038225124542,0.29968380526179483,Robustly equivalent,0.8675800806152765,1.4037196087396324,-2.506479690617741,2.935313878130781,-1.5286372794154968,2.0211913722109855
B3_mean_tir,mean_glucose_mgdl,-0.7543111934482291,-1.1254413225959254,-0.3831810643005328,Robustly equivalent,4.101862728617051,6.0850362059691685,-12.59723039550873,11.08860800861227,-9.975471768583123,7.337651285607847
B3_mean_tir,tir_percent,-0.5103759564895777,-0.65274938883393,-0.3680025241452254,Robustly equivalent,1.4443902651332023,2.3719057808794957,-5.053572327116706,4.03282041413755,-3.5397611625710965,2.1239758823991792
B3_mean_tir,tbr_percent,2.581049072524787,2.3649609329667793,2.797137212082795,Not robust,3.1555123378840912,4.3613740986929574,-4.314414745479136,9.47651289052871,-1.78423456883479,8.830603812517651
B3_mean_tir,lbgi,0.49294558375789865,0.43928470726841884,0.5466064602473785,Robustly equivalent,0.6916211332139767,1.0025900186884817,-1.2193956536298929,2.20528682114569,-0.44711188685190234,1.779060595937175
B3_mean_tir,hbgi,0.8621337901053859,0.770579353217315,0.9536882269934569,Robustly equivalent,1.228610653272081,1.7210517872361812,-2.059406967433248,3.78367454764402,-1.3237343407819304,3.2360013300548442
B4_3D_proposed,mean_glucose_mgdl,-2.0978621126237784,-2.7425727114708867,-1.4531515137766702,Robustly equivalent,8.278544280720133,10.696853345260442,-22.67084967467588,18.47512544942832,-16.987772429272393,14.983348019693125
B4_3D_proposed,cv_percent,1.0130315196484494,0.81107682462999,1.2149862146669088,Robustly equivalent,2.679362372393898,3.438324088187369,-5.431428112537767,7.457491151834666,-4.296776313028532,5.907838412427014
B4_3D_proposed,tir_percent,-1.5138980808392397,-1.728753443704247,-1.2990427179742323,Robustly equivalent,2.840884252943511,3.809335258700458,-8.37002347379285,5.34222731211437,-7.01899594554014,3.4322603378454404
B4_3D_proposed,tbr_percent,1.4219482122765,1.205869516680635,1.6380269078723648,Robustly equivalent,2.765536274751484,3.7921795985882674,-5.473214244905905,8.317110669458906,-4.7482724305780595,6.839285706357549
B4_3D_proposed,lbgi,0.2211923234481634,0.16751836557096153,0.2748662813253653,Robustly equivalent,0.6122920626836851,0.9008268971268416,-1.491566346547967,1.9339509934442938,-1.1273477121028375,1.3097225153898984
B4_3D_proposed,hbgi,-0.22814174779206717,-0.3386896508911761,-0.11759384469295826,Robustly equivalent,1.2492638765142028,1.8129711292429083,-3.7557720357629547,3.29948854017882,-2.8020358430194006,2.254481670055725
B5_adult_3D,mean_glucose_mgdl,16.564786466811075,15.0224267670542,18.10714616656795,Not equivalent,19.934078236624273,30.067791544654373,-32.65256310996159,65.78213604358373,-10.980761857439594,70.33079437117539
B5_adult_3D,cv_percent,9.337806856506434,8.949054531642112,9.726559181370757,Not equivalent,9.424774718509532,11.27820096172253,-3.067444055227371,21.74305776824024,0.5667155776449452,20.503400840188856
B5_adult_3D,tir_percent,-1.3002686830130412,-1.671147284041325,-0.9293900819847575,Robustly equivalent,4.718571817942303,6.172517877745524,-13.135161516527043,10.534624150500962,-11.342510778295416,7.671480210864158
B5_adult_3D,tbr_percent,-3.124653935768626,-3.7888841330418526,-2.4604237384953995,Not equivalent,6.954726597671042,11.24936035836069,-24.320520129496533,18.071212257959278,-26.963544653556728,7.535991910217284
B5_adult_3D,lbgi,-1.0253727512355564,-1.2101132604084108,-0.8406322420627019,Not equivalent,1.8106221388584336,3.175726298842113,-6.920520441093259,4.869774938622146,-7.762180384917037,1.4676534209695682
B5_adult_3D,hbgi,2.8589284878860726,2.6653347252716553,3.05252225050049,Not equivalent,3.035436473427406,4.25369475440865,-3.318730259278073,9.036587235050218,-0.6849355269204096,8.038720764370819
