library,metric,bias,ci90_low,ci90_high,tost_equivalent,boot_member_low,boot_member_high,boot_base_low,boot_base_high,verdict_member_boot,verdict_base_boot
full_180,mean_glucose_mgdl,-2.0978621126237784,-2.7425727114708867,-1.4531515137766702,True,-4.489918846757859,0.33011682506680295,-5.461718171258547,2.17657843215566,Robustly equivalent,Robustly equivalent
full_180,cv_percent,1.0130315196484494,0.81107682462999,1.2149862146669088,True,0.4487279957323907,1.539116497622894,-0.04061261612834262,1.8131963850235846,Robustly equivalent,Robustly equivalent
full_180,tir_percent,-1.5138980808392397,-1.728753443704247,-1.2990427179742323,True,-2.1940040512150096,-0.8808183362128036,-2.406814391313483,-0.5994071697861326,Robustly equivalent,Robustly equivalent
full_180,gmi_percent,-0.05018086173396067,-0.0656023392583835,-0.03475938420953783,True,-0.10739885881444784,0.007896394455598265,-0.13064429865650434,0.052063756097163426,Robustly equivalent,Robustly equivalent
full_180,tbr_percent,1.4219482122765,1.205869516680635,1.6380269078723648,True,0.602282847959021,2.1799407274505085,-0.08087892252704941,2.5298531930830976,Robustly equivalent,Robustly equivalent
full_180,tar_percent,0.09194986856274137,-0.13566760813576567,0.3195673452612484,True,-0.4818003447740425,0.8119092856238315,-0.616637663714839,1.0567040486304662,Robustly equivalent,Robustly equivalent
full_180,lbgi,0.2211923234481634,0.16751836557096153,0.2748662813253653,True,0.020111642887142293,0.40112534382640846,-0.15039815423136496,0.49260398127424115,Robustly equivalent,Robustly equivalent
full_180,hbgi,-0.22814174779206717,-0.3386896508911761,-0.11759384469295826,True,-0.6483473035386693,0.1793421036390292,-0.8174643795996602,0.45993956502565353,Robustly equivalent,Robustly equivalent
adult_60,mean_glucose_mgdl,16.564786466811075,15.0224267670542,18.10714616656795,False,5.039571662316962,35.68524616560277,6.118612850189575,41.951015849702436,Not equivalent,Not equivalent
adult_60,cv_percent,9.337806856506434,8.949054531642112,9.726559181370757,False,7.260728116602669,11.295869810446243,3.8775914078476355,10.976251114260338,Not equivalent,Not equivalent
adult_60,tir_percent,-1.3002686830130412,-1.671147284041325,-0.9293900819847575,True,-2.9506510008233815,-0.2847218228988525,-3.035022826207769,-0.6145115654799517,Robustly equivalent,Robustly equivalent
adult_60,gmi_percent,0.39622969228612104,0.3593364482679366,0.4331229363043055,True,0.12054655416262196,0.8535910882812185,0.14635721937653484,1.0034682991248827,Not robust (member),Not robust (base)
adult_60,tbr_percent,-3.124653935768626,-3.7888841330418526,-2.4604237384953995,False,-11.860322057000182,2.001440761908567,-17.120401866599217,2.4149748798912603,Not equivalent,Not equivalent
adult_60,tar_percent,4.424922618781667,3.650698052536346,5.199147185026988,False,-1.4073953029041277,14.109377116158026,-1.7224045091192197,19.453839615869835,Not equivalent,Not equivalent
adult_60,lbgi,-1.0253727512355564,-1.2101132604084108,-0.8406322420627019,False,-3.503490745544083,0.3940749470116518,-4.836634537882142,0.46886798258066076,Not equivalent,Not equivalent
adult_60,hbgi,2.8589284878860726,2.6653347252716553,3.05252225050049,False,1.708563662155463,4.680390200685166,2.1736289866988248,4.1918832409384335,Not equivalent,Not equivalent
